Coin,Price,Change_1h,Change_24h,Chnage_7days,Volume_24h,Market_cap
Bitcoin,"$23,431.70",-0.3%,0.1%,-2.2%,n/a,"$448,074,185,481"
Ethereum,"$1,863.71",0.0%,1.9%,0.6%,n/a,"$223,679,402,635"
Tether,$0.999771,-0.1%,-0.2%,-0.1%,n/a,"$67,699,626,298"
USD Coin,$0.999027,-0.2%,-0.2%,-0.1%,n/a,"$53,189,335,903"
BNB,$305.66,-1.0%,-0.5%,-6.7%,n/a,"$49,962,467,231"
XRP,$0.376670,0.1%,1.0%,-1.4%,n/a,"$18,599,835,060"
Binance USD,$0.998865,-0.1%,-0.2%,-0.2%,n/a,"$18,276,429,176"
Cardano,$0.537797,0.0%,0.3%,0.0%,n/a,"$18,187,587,486"
Solana,$40.96,-0.5%,-0.6%,-3.2%,n/a,"$14,259,470,293"
Dogecoin,$0.080884733945,-0.2%,-1.3%,13.4%,n/a,"$10,708,207,441"
Polkadot,$8.49,-0.1%,1.0%,-10.6%,n/a,"$9,682,942,246"
Shiba Inu,$0.000014713197,-0.3%,-7.2%,19.0%,n/a,"$8,683,060,528"
Lido Staked Ether,"$1,812.90",-0.0%,1.9%,1.6%,n/a,"$7,760,844,021"
Avalanche,$25.89,-0.6%,-1.1%,-11.1%,n/a,"$7,371,372,998"
Polygon,$0.899671,-0.1%,0.1%,-4.2%,n/a,"$6,690,746,602"
Dai,$1.00,-0.1%,0.1%,-0.0%,n/a,"$6,674,319,662"
TRON,$0.068205967274,0.0%,-0.9%,-3.2%,n/a,"$6,297,071,546"
Wrapped Bitcoin,"$23,425.06",-0.2%,0.1%,-2.1%,n/a,"$5,793,156,506"
Ethereum Classic,$41.31,-0.4%,4.8%,6.4%,n/a,"$5,607,781,550"
OKB,$20.90,-0.3%,2.5%,10.0%,n/a,"$5,352,225,091"
LEO Token,$5.31,0.1%,-0.5%,12.8%,n/a,"$4,963,895,469"
Litecoin,$60.97,-0.2%,1.4%,-1.0%,n/a,"$4,321,206,033"
FTX,$30.36,-0.1%,0.9%,-3.1%,n/a,"$4,083,867,712"
NEAR Protocol,$5.10,0.1%,0.7%,-13.3%,n/a,"$3,888,617,677"
Chainlink,$8.12,-0.2%,-0.1%,-10.3%,n/a,"$3,786,526,526"
Uniswap,$8.02,-0.9%,0.2%,-12.9%,n/a,"$3,660,365,264"
Cronos,$0.144211,-0.1%,-0.8%,-5.0%,n/a,"$3,639,834,449"
Cosmos Hub,$11.85,-0.0%,4.7%,-0.9%,n/a,"$3,467,995,134"
Stellar,$0.120493,-0.2%,-0.0%,-4.3%,n/a,"$3,043,122,589"
