Coin,Price,Change_1h,Change_24h,Chnage_7days,Volume_24h,Market_cap
Bitcoin,"$23,480.30",-0.3%,0.2%,-2.0%,n/a,"$449,298,982,382"
Ethereum,"$1,858.42",-0.9%,1.3%,0.3%,n/a,"$223,478,315,073"
Tether,$1.00,-0.1%,-0.1%,-0.0%,n/a,"$67,672,042,031"
USD Coin,$0.999664,-0.1%,-0.1%,-0.1%,n/a,"$53,212,394,004"
BNB,$308.63,-0.4%,0.4%,-5.8%,n/a,"$50,428,501,955"
XRP,$0.376665,-0.4%,0.9%,-1.4%,n/a,"$18,588,216,216"
Binance USD,$1.00,-0.1%,0.0%,0.0%,n/a,"$18,314,669,455"
Cardano,$0.538045,-0.6%,0.4%,0.0%,n/a,"$18,173,013,099"
Solana,$40.99,-1.1%,-1.2%,-3.1%,n/a,"$14,283,558,533"
Dogecoin,$0.081140900816,-0.7%,-1.5%,13.7%,n/a,"$10,761,753,666"
Polkadot,$8.50,-0.5%,0.5%,-10.4%,n/a,"$9,719,070,637"
Shiba Inu,$0.000014782204,-0.3%,-6.5%,19.6%,n/a,"$8,706,893,075"
Lido Staked Ether,"$1,807.24",-0.8%,1.4%,1.2%,n/a,"$7,737,894,691"
Avalanche,$25.98,-0.6%,-1.2%,-10.8%,n/a,"$7,409,841,021"
Dai,$0.999735,-0.1%,0.0%,-0.1%,n/a,"$6,694,262,463"
Polygon,$0.899767,-0.6%,-0.3%,-4.2%,n/a,"$6,691,913,540"
TRON,$0.068205452251,-0.6%,-1.0%,-3.2%,n/a,"$6,309,093,724"
Wrapped Bitcoin,"$23,462.55",-0.4%,0.2%,-1.9%,n/a,"$5,799,413,163"
Ethereum Classic,$41.41,-0.7%,4.4%,6.7%,n/a,"$5,653,190,571"
OKB,$20.93,-0.6%,2.8%,10.1%,n/a,"$5,371,088,936"
LEO Token,$5.30,0.1%,-0.9%,12.7%,n/a,"$4,964,376,080"
Litecoin,$61.01,-0.6%,1.7%,-0.9%,n/a,"$4,325,358,975"
FTX,$30.37,-0.4%,0.8%,-3.1%,n/a,"$4,083,810,347"
NEAR Protocol,$5.10,-0.8%,0.4%,-13.3%,n/a,"$3,904,185,239"
Chainlink,$8.12,-1.0%,-0.5%,-10.3%,n/a,"$3,794,312,609"
Uniswap,$8.08,-0.7%,1.0%,-12.2%,n/a,"$3,684,270,592"
Cronos,$0.144185,-0.6%,-1.1%,-5.0%,n/a,"$3,639,934,636"
Cosmos Hub,$11.89,-0.0%,5.0%,-0.5%,n/a,"$3,480,242,839"
